type,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,commission,net_pnl,equity,peak,drawdown
Long,12-08-2025 12:00,13-08-2025 15:00,118514.1,120897.5,0.054347984,129.5329845,2.602307551,126.930677,13008.93545,13544.17417,-0.039518004
Short,13-08-2025 15:00,14-08-2025 14:15,120897.5,118053.5,0.053801507,153.0114866,2.571184792,150.4403018,13159.37575,13544.17417,-0.028410623
Long,14-08-2025 14:15,17-08-2025 06:00,118053.5,118032.5,0.055734797,-1.17043074,2.631641063,-3.802071803,13155.57368,13544.17417,-0.028691339
Short,17-08-2025 06:00,18-08-2025 03:45,118032.5,115179.3,0.055728607,159.0048623,2.599313763,156.4055485,13311.97922,13544.17417,-0.017143529
Long,18-08-2025 03:45,22-08-2025 16:30,115179.3,116401.5,0.057788071,70.62858087,2.676521561,67.95205931,13379.93128,13544.17417,-0.01212646
Short,22-08-2025 16:30,24-08-2025 21:00,116401.5,112730.6,0.057473191,210.9783368,2.633790589,208.3445462,13588.27583,13588.27583,0
Long,24-08-2025 21:00,26-08-2025 20:15,112730.6,111243.2,0.060268799,-89.64381219,2.699726404,-92.3435386,13495.93229,13588.27583,-0.006795825
Short,26-08-2025 20:15,29-08-2025 08:15,111243.2,110004.8,0.060659583,75.12082783,2.684162293,72.43666554,13568.36896,13588.27583,-0.001465004
Long,29-08-2025 08:15,31-08-2025 02:15,110004.8,109336,0.061671713,-41.2460418,2.705424583,-43.95146639,13524.41749,13588.27583,-0.004699517
Short,31-08-2025 02:15,01-09-2025 22:30,109336,108028.9,0.061847962,80.8414708,2.688715204,78.15275559,13602.57025,13602.57025,0
Long,01-09-2025 22:30,03-09-2025 15:45,108028.9,112283.7,0.062958015,267.8737629,2.774088802,265.0996741,13867.66992,13867.66992,0
Short,03-09-2025 15:45,04-09-2025 06:00,112283.7,110648.9,0.061752819,100.9535079,2.753343283,98.2001646,13965.87009,13965.87009,0
Long,04-09-2025 06:00,08-09-2025 11:15,110648.9,111830.4,0.063108942,74.56321529,2.80808666,71.75512863,14037.62521,14037.62521,0
Short,08-09-2025 11:15,09-09-2025 02:15,111830.4,111199.3,0.062763011,39.60973614,2.799603096,36.81013304,14074.43535,14074.43535,0
Long,09-09-2025 02:15,10-09-2025 09:00,111199.3,112320.1,0.06328473,70.92952535,2.829072974,68.10045238,14142.5358,14142.5358,0
Short,10-09-2025 09:00,13-09-2025 18:00,112320.1,115568.1,0.062956389,-204.4823512,2.86940363,-207.3517549,13935.18404,14142.5358,-0.014661568
Long,13-09-2025 18:00,16-09-2025 18:00,115568.1,116446.1,0.060289924,52.9345537,2.79762372,50.13692998,13985.32097,14142.5358,-0.011116452
